station_id,date,time,pm25_aqi,pm25_value,pm10_aqi,pm10_value,o3_aqi,o3_value,co_aqi,co_value,no2_aqi,no2_value,so2_aqi,so2_value,aqi,aqi_param
92t,2026-08-12,14:00,15,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,PM25
03t,2026-08-12,15:00,27,15.7,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,27,PM25
05t,2026-08-12,15:00,21,12.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,PM25
12t,2026-08-12,15:00,21,12.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,PM25
42t,2026-08-12,17:00,16,9.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,PM25
43t,2026-08-12,17:00,17,10.2,-1,-1,-1,-1,-1,-1,2,5,1,2,17,PM25
44t,2026-08-12,17:00,18,10.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,PM25
62t,2026-08-12,17:00,15,9.2,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,15,PM25
63t,2026-08-12,17:00,15,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,15,PM25
80t,2026-08-12,17:00,16,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,PM25
89t,2026-08-12,17:00,16,9.5,10,20,-1,-1,-1,-1,4,10,-1,-1,16,PM25
37t,2026-08-12,21:00,14,8.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,PM25
38t,2026-08-12,21:00,13,7.9,-1,-1,19,27,2,0.30,0,1,0,1,19,O3
39t,2026-08-12,21:00,13,7.7,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,13,PM25
41t,2026-08-12,21:00,14,8.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,PM25
54t,2026-08-12,21:00,28,16.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,PM25
76t,2026-08-12,21:00,15,8.8,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,15,PM25
bkp66t,2026-08-12,22:00,33,18.0,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,33,PM25
19t,2026-08-12,23:00,18,10.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,PM25
95t,2026-08-12,23:00,28,16.0,14,28,-1,-1,-1,-1,-1,-1,-1,-1,28,PM25
bkp114t,2026-08-12,23:00,13,7.8,-999,-1,-999,-1,-999,-1,-999,-1,-999,-1,13,PM25
02t,2026-08-13,00:00,20,12.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,PM25
08t,2026-08-13,00:00,31,17.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,PM25
100t,2026-08-13,00:00,15,9.1,22,43,8,11,1,0.20,3,7,0,0,22,PM10
101t,2026-08-13,00:00,19,11.2,12,24,-1,-1,18,3.20,1,3,0,1,19,PM25
102t,2026-08-13,00:00,31,17.1,15,30,-1,-1,-1,-1,-1,-1,0,1,31,PM25
103t,2026-08-13,00:00,17,9.9,16,32,-1,-1,1,0.20,5,12,0,0,17,PM25
104t,2026-08-13,00:00,23,13.8,-1,-1,18,25,1,0.20,1,2,1,2,23,PM25
105t,2026-08-13,00:00,13,7.7,-999,-1,11,15,0,0.00,5,12,0,1,13,PM25
106t,2026-08-13,00:00,36,19.4,-999,-1,6,8,1,0.20,0,1,0,0,36,PM25
107t,2026-08-13,00:00,20,12.1,-1,-1,18,25,1,0.20,1,2,-1,-1,20,PM25
108t,2026-08-13,00:00,22,12.9,-1,-1,22,31,10,1.80,0,1,1,2,22,PM25
109t,2026-08-13,00:00,22,13.0,-1,-1,18,25,1,0.20,1,2,1,3,22,PM25
110t,2026-08-13,00:00,22,13.1,-999,-1,25,35,-1,-1,1,2,0,0,25,O3
111t,2026-08-13,00:00,16,9.7,-999,-1,22,31,1,0.10,0,0,0,0,22,O3
112t,2026-08-13,00:00,15,9.2,-999,-1,14,19,0,0.00,0,0,0,0,15,PM25
113t,2026-08-13,00:00,13,7.9,10,20,33,40,0,0.00,0,0,0,0,33,O3
114t,2026-08-13,00:00,18,10.6,14,28,19,27,2,0.30,2,4,0,1,19,O3
115t,2026-08-13,00:00,14,8.3,11,22,9,13,2,0.30,0,1,0,1,14,PM25
116t,2026-08-13,00:00,15,8.8,11,22,14,20,1,0.10,2,4,0,0,15,PM25
117t,2026-08-13,00:00,24,14.2,-999,-1,9,13,1,0.20,1,2,0,1,24,PM25
118t,2026-08-13,00:00,15,9.0,-1,-1,6,9,1,0.20,1,2,0,0,15,PM25
119t,2026-08-13,00:00,13,7.8,-1,-1,8,11,7,1.30,3,6,1,2,13,PM25
120t,2026-08-13,00:00,16,9.5,-1,-1,12,17,3,0.50,0,1,0,0,16,PM25
121t,2026-08-13,00:00,16,9.6,-1,-1,11,15,1,0.10,1,2,0,1,16,PM25
13t,2026-08-13,00:00,17,10.1,-1,-1,6,9,2,0.40,-1,-1,-1,-1,17,PM25
14t,2026-08-13,00:00,30,16.7,-1,-1,4,6,2,0.40,5,12,1,2,30,PM25
16t,2026-08-13,00:00,18,10.8,10,19,-1,-1,-1,-1,-1,-1,-1,-1,18,PM25
17t,2026-08-13,00:00,19,11.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,PM25
18t,2026-08-13,00:00,39,20.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,PM25
19t,2026-08-13,00:00,19,11.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,PM25
20t,2026-08-13,00:00,37,19.7,15,30,-1,-1,-1,-1,-1,-1,-1,-1,37,PM25
21t,2026-08-13,00:00,18,10.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,PM25
22t,2026-08-13,00:00,19,11.3,13,25,-1,-1,-1,-1,-1,-1,-1,-1,19,PM25
24t,2026-08-13,00:00,33,18.0,26,51,-1,-1,-1,-1,-1,-1,-1,-1,33,PM25
25t,2026-08-13,00:00,25,14.7,17,34,-1,-1,-999,-1,-1,-1,-999,-1,25,PM25
26t,2026-08-13,00:00,27,15.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,PM25
27t,2026-08-13,00:00,21,12.7,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,21,PM25
28t,2026-08-13,00:00,28,16.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,PM25
29t,2026-08-13,00:00,22,13.0,24,48,-1,-1,-1,-1,-1,-1,-1,-1,24,PM10
30t,2026-08-13,00:00,30,16.6,25,49,11,16,1,0.10,1,2,0,1,30,PM25
31t,2026-08-13,00:00,18,10.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,PM25
33t,2026-08-13,00:00,20,12.2,-1,-1,-1,-1,-999,-1,-1,-1,-999,-1,20,PM25
34t,2026-08-13,00:00,34,18.5,-1,-1,-1,-1,-1,-1,-1,-1,-999,-1,34,PM25
35t,2026-08-13,00:00,32,17.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,PM25
36t,2026-08-13,00:00,13,7.9,-1,-1,-999,-1,-1,-1,-1,-1,-1,-1,13,PM25
40t,2026-08-13,00:00,14,8.4,-1,-1,-1,-1,-999,-1,-1,-1,-1,-1,14,PM25
46t,2026-08-13,00:00,44,22.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,PM25
47t,2026-08-13,00:00,31,17.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,PM25
50t,2026-08-13,00:00,27,15.5,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,27,PM25
52t,2026-08-13,00:00,25,14.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,PM25
53t,2026-08-13,00:00,25,14.8,-1,-1,-999,-1,-1,-1,-1,-1,-999,-1,25,PM25
57t,2026-08-13,00:00,13,7.5,14,28,-1,-1,-1,-1,-1,-1,-999,-1,14,PM10
58t,2026-08-13,00:00,14,8.6,9,18,-1,-1,-1,-1,-1,-1,-999,-1,14,PM25
59t,2026-08-13,00:00,17,10.3,12,23,6,9,3,0.60,5,12,-999,-1,17,PM25
